idx,true,prior_match,cond_match,ratio_match,prior_mismatch,cond_mismatch,ratio_mismatch
0,match,5.2344,5.5112,1.0529,2.7153,3.9413,1.4515
1,mismatch,7.2606,3.0668,0.4224,2.9596,3.3706,1.1389
2,mismatch,9.3331,5.2207,0.5594,2.95,2.7899,0.9457
3,match,3.8486,2.7749,0.721,2.7742,2.6758,0.9645
4,mismatch,7.1283,4.8056,0.6742,3.1852,3.1416,0.9863
5,mismatch,5.0798,4.206,0.828,2.9393,2.9506,1.0038
6,mismatch,10.1202,3.7942,0.3749,2.7833,2.5084,0.9012
7,match,4.7831,2.1848,0.4568,2.8101,8.7779,3.1237
8,mismatch,8.3612,2.6116,0.3124,2.9208,2.3024,0.7883
9,mismatch,7.0932,4.8848,0.6887,2.8242,2.5145,0.8904
10,mismatch,7.4911,5.5315,0.7384,2.9867,3.065,1.0262
11,mismatch,7.5398,3.5875,0.4758,2.983,4.7449,1.5907
12,mismatch,8.1142,3.5433,0.4367,3.5683,2.4191,0.6779
13,match,4.5127,3.7459,0.8301,2.7329,3.4144,1.2494
14,mismatch,6.9024,6.2789,0.9097,3.7017,3.2034,0.8654
15,mismatch,8.0064,4.632,0.5785,2.9904,2.4893,0.8324
16,mismatch,7.3542,4.3447,0.5908,2.8561,2.6883,0.9412
17,mismatch,5.1995,3.2358,0.6223,2.7547,3.4206,1.2417
18,mismatch,3.5108,3.067,0.8736,3.2502,2.5332,0.7794
19,match,6.3236,3.938,0.6227,2.6231,5.1289,1.9553
20,mismatch,9.4149,3.887,0.4128,3.1705,2.5173,0.794
21,mismatch,9.4231,3.9596,0.4202,3.3969,2.6667,0.785
22,mismatch,10.104,5.2815,0.5227,3.1643,2.6823,0.8477
23,mismatch,7.1775,3.8372,0.5346,2.7048,2.8576,1.0565
24,mismatch,7.8438,4.6016,0.5867,2.8033,2.3113,0.8245
25,match,4.7831,2.1848,0.4568,2.8101,8.7779,3.1237
26,mismatch,7.3636,6.5182,0.8852,3.1041,3.2706,1.0536
27,match,5.7432,4.0352,0.7026,3.0795,4.1793,1.3571
28,mismatch,7.6992,2.5345,0.3292,2.8472,2.1898,0.7691
29,mismatch,9.5874,5.9442,0.62,3.059,3.0624,1.0011
30,mismatch,9.5457,5.7502,0.6024,3.0889,4.1239,1.3351
31,mismatch,8.4235,4.5417,0.5392,2.893,3.0666,1.06
32,mismatch,6.9584,3.4119,0.4903,3.3147,2.8906,0.872
33,mismatch,7.7793,4.497,0.5781,2.9762,2.8512,0.958
34,mismatch,8.0794,4.1171,0.5096,3.061,2.5163,0.8221
35,match,4.5127,3.7459,0.8301,2.7329,3.4144,1.2494
36,mismatch,9.6951,2.7088,0.2794,3.0473,2.2874,0.7506
37,match,3.1733,2.4908,0.7849,3.9078,1.9291,0.4937
38,mismatch,7.2593,5.3544,0.7376,2.8238,4.6374,1.6423
39,mismatch,8.2653,4.37,0.5287,2.6993,2.2854,0.8467
40,mismatch,10.2208,3.2614,0.3191,3.0973,3.6905,1.1915
41,mismatch,8.0562,4.7688,0.5919,2.8944,2.6456,0.914
42,mismatch,8.5939,3.1328,0.3645,2.7781,2.6143,0.941
43,mismatch,7.7149,4.0304,0.5224,2.8647,2.0994,0.7328
44,mismatch,7.739,6.4364,0.8317,2.97,3.0528,1.0279
45,mismatch,9.0897,4.4832,0.4932,2.8183,2.2389,0.7944
46,match,4.2243,3.1678,0.7499,3.0332,3.7979,1.2521
47,mismatch,7.4884,4.1276,0.5512,3.2574,3.0757,0.9442
48,mismatch,8.0659,5.9679,0.7399,2.8462,2.4862,0.8735
49,mismatch,6.6992,4.5044,0.6724,2.9539,2.8768,0.9739
50,mismatch,7.7868,5.2135,0.6695,2.9742,2.8182,0.9476
51,mismatch,9.8914,5.699,0.5762,2.9317,2.3525,0.8024
52,mismatch,8.5193,3.8881,0.4564,3.0235,3.3414,1.1052
53,mismatch,8.0471,6.4077,0.7963,3.0439,3.0551,1.0037
54,mismatch,9.2461,8.3207,0.8999,2.9389,3.3877,1.1527
55,mismatch,6.7359,4.9159,0.7298,3.0647,3.5992,1.1744
56,mismatch,6.5363,4.5787,0.7005,2.9355,2.7434,0.9346
57,mismatch,5.7423,4.4528,0.7754,3.0884,2.4667,0.7987
58,match,3.9479,4.5179,1.1444,3.3517,2.7552,0.822
59,match,5.7432,4.0352,0.7026,3.0795,4.1793,1.3571
60,match,4.4904,2.7195,0.6056,2.9107,2.8253,0.9706
61,mismatch,8.7031,4.8916,0.5621,2.8344,2.3077,0.8142
62,mismatch,3.7292,3.9198,1.0511,3.0976,2.2513,0.7268
63,mismatch,5.2796,4.3254,0.8193,2.7406,2.8641,1.0451
64,mismatch,7.9233,2.8991,0.3659,3.0857,2.9056,0.9416
65,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
66,mismatch,6.7212,4.7359,0.7046,2.9485,2.6249,0.8903
67,mismatch,6.8386,6.4844,0.9482,2.756,3.8844,1.4094
68,match,4.8211,3.9828,0.8261,2.869,4.5491,1.5856
69,match,4.871,5.1367,1.0545,2.9371,2.9542,1.0058
70,match,4.64,4.0729,0.8778,2.9736,2.6305,0.8846
71,match,3.5548,2.6713,0.7515,2.9343,4.3179,1.4715
72,mismatch,8.7676,7.9236,0.9037,3.5186,3.927,1.1161
73,mismatch,6.1987,4.9988,0.8064,2.858,2.7238,0.953
74,mismatch,8.8998,2.5445,0.2859,3.0347,2.4897,0.8204
75,mismatch,9.7531,2.8329,0.2905,2.8201,2.4414,0.8657
76,mismatch,6.7897,5.608,0.826,2.8007,3.287,1.1736
77,match,2.9577,2.5173,0.8511,4.4051,10.7405,2.4382
78,mismatch,8.2883,3.3832,0.4082,2.9984,2.3992,0.8001
79,mismatch,7.5946,4.8411,0.6374,3.0403,2.633,0.866
80,mismatch,4.8519,3.2605,0.672,3.0079,2.8118,0.9348
81,match,4.2735,3.8329,0.8969,4.5435,2.5941,0.571
82,match,3.7582,2.5937,0.6901,2.9804,2.2599,0.7582
83,mismatch,7.0597,4.3482,0.6159,3.2304,2.2399,0.6934
84,mismatch,7.6445,4.8082,0.629,2.9987,2.3931,0.7981
85,mismatch,6.7526,4.8649,0.7204,3.0714,2.7049,0.8807
86,mismatch,6.7495,4.4758,0.6631,2.6116,2.5912,0.9922
87,mismatch,7.1346,5.2062,0.7297,2.7872,2.0775,0.7454
88,mismatch,8.7666,4.8492,0.5531,3.0161,2.2905,0.7594
89,mismatch,7.2553,4.2761,0.5894,3.0447,3.1471,1.0336
90,mismatch,7.8512,3.6313,0.4625,3.1586,2.5604,0.8106
91,mismatch,6.4532,4.0987,0.6351,2.8545,2.0608,0.722
92,mismatch,7.6121,3.233,0.4247,2.7505,3.6302,1.3198
93,mismatch,4.3342,5.8296,1.345,2.979,5.3225,1.7866
94,mismatch,9.0664,2.7771,0.3063,2.9686,2.1953,0.7395
95,mismatch,8.0556,6.1186,0.7595,2.8743,2.976,1.0354
96,mismatch,7.6255,4.4591,0.5848,2.9243,2.8236,0.9656
97,mismatch,8.7032,4.9551,0.5693,2.9475,2.1677,0.7355
98,mismatch,9.6162,3.772,0.3923,2.9663,2.1784,0.7344
99,mismatch,8.1824,5.1395,0.6281,3.0974,3.8645,1.2477
100,match,4.507,2.4905,0.5526,2.7067,10.4776,3.871
101,mismatch,8.6911,2.74,0.3153,2.9937,2.0431,0.6825
102,mismatch,8.7789,5.5798,0.6356,3.0264,2.5719,0.8498
103,mismatch,4.2556,2.6852,0.631,2.8938,2.4003,0.8295
104,mismatch,9.6212,4.35,0.4521,3.259,2.5228,0.7741
105,mismatch,7.2787,3.3958,0.4665,4.5133,2.1721,0.4813
106,mismatch,9.714,2.9214,0.3007,4.6019,2.6625,0.5786
107,mismatch,8.1385,3.0015,0.3688,2.9459,2.3516,0.7983
108,mismatch,8.5132,6.9401,0.8152,2.9458,3.757,1.2754
109,mismatch,8.242,4.0099,0.4865,2.8162,2.4221,0.8601
110,mismatch,6.3424,3.6904,0.5819,2.8496,3.2096,1.1263
111,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
112,mismatch,7.6789,5.4759,0.7131,2.924,2.7485,0.94
113,match,5.3744,4.1483,0.7719,4.0958,3.7677,0.9199
114,mismatch,8.4768,5.5551,0.6553,3.0995,2.6669,0.8604
115,mismatch,7.2152,3.7065,0.5137,2.873,2.5483,0.887
116,mismatch,9.8201,5.532,0.5633,3.6835,2.8044,0.7613
117,mismatch,9.8569,3.94,0.3997,3.574,2.9627,0.829
118,mismatch,8.8689,6.4296,0.725,2.8171,3.0715,1.0903
119,match,5.2344,5.5112,1.0529,2.7153,3.9413,1.4515
120,match,5.7432,4.0352,0.7026,3.0795,4.1793,1.3571
121,mismatch,7.6629,3.1506,0.4111,2.9124,2.3917,0.8212
122,mismatch,7.386,2.9249,0.396,2.7844,2.701,0.9701
123,mismatch,10.0544,7.2928,0.7253,2.9337,3.3676,1.1479
124,mismatch,9.4843,5.4562,0.5753,3.8472,3.2645,0.8485
125,mismatch,7.4758,6.3338,0.8472,2.7632,3.2195,1.1651
126,match,3.7534,5.7543,1.5331,2.9316,2.6051,0.8886
127,match,5.3343,3.8156,0.7153,2.84,2.6419,0.9303
128,mismatch,10.9727,5.5035,0.5016,4.0137,3.4506,0.8597
129,mismatch,4.0049,5.6299,1.4058,3.0777,3.7304,1.2121
130,match,3.8486,2.7749,0.721,2.7742,2.6758,0.9645
131,mismatch,7.8166,4.2901,0.5488,2.8895,2.6365,0.9124
132,mismatch,4.2044,3.1133,0.7405,2.8956,2.6532,0.9163
133,match,4.1756,2.1997,0.5268,3.1119,2.5298,0.8129
134,mismatch,8.5472,4.7731,0.5584,3.0756,6.1702,2.0062
135,match,3.997,4.6568,1.1651,2.8679,4.0962,1.4283
136,match,3.6247,2.5884,0.7141,3.2742,13.6761,4.177
137,mismatch,8.2204,3.6416,0.443,2.893,2.4166,0.8353
138,match,4.64,4.0729,0.8778,2.9736,2.6305,0.8846
139,mismatch,3.2248,3.4883,1.0817,2.9497,2.2828,0.7739
140,mismatch,9.6525,7.8794,0.8163,3.056,3.7049,1.2123
141,mismatch,8.3034,4.5544,0.5485,2.9836,2.5891,0.8678
142,match,3.4207,3.839,1.1223,4.2213,4.7571,1.1269
143,mismatch,9.7972,2.7925,0.285,3.1235,2.596,0.8311
144,mismatch,7.7484,3.6952,0.4769,2.947,2.2082,0.7493
145,match,3.7582,2.5937,0.6901,2.9804,2.2599,0.7582
146,mismatch,8.6435,4.6742,0.5408,2.8744,2.9536,1.0276
